SA12018_code	DHB2015_name
7001541	Waitemata
7001538	Waitemata
7001537	Waitemata
7001542	Waitemata
7001558	Waitemata
7001544	Waitemata
7001559	Waitemata
7001563	Waitemata
7001565	Waitemata
7001564	Waitemata
7001550	Waitemata
7001546	Waitemata
7001547	Waitemata
7001549	Waitemata
7001548	Waitemata
7001582	Waitemata
7001586	Waitemata
7001607	Waitemata
7001600	Waitemata
7001610	Waitemata
7001609	Waitemata
7001599	Waitemata
7001611	Waitemata
7001612	Waitemata
7001613	Waitemata
7001614	Waitemata
7001615	Waitemata
7001616	Waitemata
7001619	Waitemata
7001621	Waitemata
7001620	Waitemata
7001644	Waitemata
7001645	Waitemata
7001643	Waitemata
7001647	Waitemata
7001646	Waitemata
7001638	Waitemata
7001639	Waitemata
7001640	Waitemata
7001573	Waitemata
7001574	Waitemata
7001591	Waitemata
7001603	Waitemata
7001604	Waitemata
7001605	Waitemata
7001624	Waitemata
7001630	Waitemata
7001659	Waitemata
7001660	Waitemata
7001648	Waitemata
7001650	Waitemata
7001652	Waitemata
7001626	Waitemata
7001627	Waitemata
7001656	Waitemata
7001653	Waitemata
7001655	Waitemata
7001649	Waitemata
7001651	Waitemata
7001631	Waitemata
7001635	Waitemata
7001661	Waitemata
7001632	Waitemata
7001634	Waitemata
7001662	Waitemata
7001663	Waitemata
7001665	Waitemata
7001664	Waitemata
7001636	Waitemata
7001637	Waitemata
7001667	Waitemata
7001666	Waitemata
7001672	Waitemata
7002120	Waitemata
7002121	Waitemata
7002123	Waitemata
7002122	Waitemata
7002125	Waitemata
7002119	Waitemata
7002090	Waitemata
7002091	Waitemata
7002092	Waitemata
7002100	Waitemata
7002124	Waitemata
7002096	Waitemata
7002095	Waitemata
7002099	Waitemata
7002101	Waitemata
7002102	Waitemata
7002097	Waitemata
7002098	Waitemata
7001671	Waitemata
7001673	Waitemata
7001681	Waitemata
7001676	Waitemata
7001675	Waitemata
7001688	Waitemata
7001691	Waitemata
7001677	Waitemata
7001699	Waitemata
7001684	Waitemata
7001686	Waitemata
7001685	Waitemata
7001687	Waitemata
7001698	Waitemata
7001723	Waitemata
7001714	Waitemata
7001707	Waitemata
7001694	Waitemata
7001722	Waitemata
7001724	Waitemata
7001692	Waitemata
7001693	Waitemata
7001695	Waitemata
7001696	Waitemata
7001697	Waitemata
7001715	Waitemata
7001716	Waitemata
7001717	Waitemata
7001353	Waitemata
7001459	Waitemata
7001461	Waitemata
7001576	Waitemata
7001575	Waitemata
7001579	Waitemata
7001593	Waitemata
7001557	Waitemata
7001424	Waitemata
7001463	Waitemata
7001825	Waitemata
7001812	Waitemata
7001826	Waitemata
7001402	Waitemata
7001418	Waitemata
7001406	Waitemata
7001400	Waitemata
7001407	Waitemata
7001806	Waitemata
7001836	Waitemata
7001408	Waitemata
7001452	Waitemata
7001827	Waitemata
7001835	Waitemata
7001837	Waitemata
7001361	Waitemata
7001468	Waitemata
7001439	Waitemata
7001432	Waitemata
7001362	Waitemata
7001480	Waitemata
7001409	Waitemata
7001438	Waitemata
7001442	Waitemata
7001441	Waitemata
7001453	Waitemata
7001513	Waitemata
7001454	Waitemata
7001514	Waitemata
7001515	Waitemata
7001516	Waitemata
7001422	Waitemata
7001399	Waitemata
7001404	Waitemata
7001274	Waitemata
7001282	Waitemata
7001356	Waitemata
7001358	Waitemata
7001394	Waitemata
7001396	Waitemata
7001397	Waitemata
7001391	Waitemata
7001392	Waitemata
